"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0000325","plant-type vacuole",175,2,0.07,"0.0021"
"GO:0000326","protein storage vacuole",15,1,0.01,"0.0063"
"GO:0000322","storage vacuole",33,1,0.01,"0.0139"
"GO:0009705","plant-type vacuole membrane",122,1,0.05,"0.0507"
"GO:0005773","vacuole",911,2,0.39,"0.0509"
"GO:0005774","vacuolar membrane",507,1,0.21,"0.1972"
"GO:0005634","nucleus",3834,3,1.62,"0.1976"
"GO:0005886","plasma membrane",2452,2,1.04,"0.2788"
"GO:0071944","cell periphery",2894,2,1.23,"0.3573"
"GO:0098588","bounding membrane of organelle",1100,1,0.47,"0.3870"
"GO:0031090","organelle membrane",1741,1,0.74,"0.5500"
"GO:0043231","intracellular membrane-bounded organelle",8493,4,3.6,"0.5694"
"GO:0043227","membrane-bounded organelle",8539,4,3.62,"0.5776"
"GO:0005829","cytosol",1953,1,0.83,"0.5955"
"GO:0016020","membrane",4418,2,1.87,"0.6176"
"GO:0043229","intracellular organelle",8814,4,3.74,"0.6266"
"GO:0043226","organelle",8845,4,3.75,"0.6322"
"GO:0005737","cytoplasm",7576,3,3.21,"0.7525"
"GO:0005622","intracellular anatomical structure",10087,4,4.27,"0.8443"
"GO:0110165","cellular anatomical entity",11770,5,4.99,"0.9882"
