"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005886","plasma membrane",2452,20,9.98,"0.00082"
"GO:0071944","cell periphery",2894,20,11.77,"0.00659"
"GO:0009986","cell surface",37,2,0.15,"0.00986"
"GO:0000808","origin recognition complex",5,1,0.02,"0.02018"
"GO:0005664","nuclear origin of replication recognitio...",5,1,0.02,"0.02018"
"GO:0016020","membrane",4418,25,17.97,"0.02706"
"GO:0009533","chloroplast stromal thylakoid",9,1,0.04,"0.03604"
"GO:0005773","vacuole",911,7,3.71,"0.07378"
"GO:0009897","external side of plasma membrane",19,1,0.08,"0.07459"
"GO:0009705","plant-type vacuole membrane",122,2,0.5,"0.08799"
"GO:0005774","vacuolar membrane",507,4,2.06,"0.15009"
"GO:0000325","plant-type vacuole",175,2,0.71,"0.15900"
"GO:0009534","chloroplast thylakoid",375,3,1.53,"0.19538"
"GO:0031976","plastid thylakoid",379,3,1.54,"0.19955"
"GO:0098552","side of membrane",59,1,0.24,"0.21426"
"GO:0009579","thylakoid",452,3,1.84,"0.27883"
"GO:0031984","organelle subcompartment",1067,5,4.34,"0.44065"
"GO:0005789","endoplasmic reticulum membrane",387,2,1.57,"0.47028"
"GO:0042175","nuclear outer membrane-endoplasmic retic...",391,2,1.59,"0.47569"
"GO:0098827","endoplasmic reticulum subcompartment",392,2,1.59,"0.47703"
